Algorithm,Iteration,Num Features,Num Targets,Train Size %,Test Size %,RMSE,R2
Decision Tree,1,3,1,90.0,10.0,32.4915,0.9703
Decision Tree,2,3,1,80.0,20.0,32.1167,0.9704
Decision Tree,3,3,1,70.0,30.0,32.9361,0.969
Decision Tree,4,3,1,60.0,40.0,32.4155,0.9703
Decision Tree,5,3,1,50.0,50.0,32.8611,0.9694
Random Forest,1,3,1,90.0,10.0,32.581,0.9702
Random Forest,2,3,1,80.0,20.0,32.1752,0.9703
Random Forest,3,3,1,70.0,30.0,32.9736,0.9689
Random Forest,4,3,1,60.0,40.0,32.475,0.9702
Random Forest,5,3,1,50.0,50.0,32.8987,0.9693
KNN,1,3,1,90.0,10.0,33.7273,0.968
KNN,2,3,1,80.0,20.0,33.962,0.9669
KNN,3,3,1,70.0,30.0,34.3968,0.9662
KNN,4,3,1,60.0,40.0,33.7599,0.9678
KNN,5,3,1,50.0,50.0,33.6986,0.9678
Hybrid (Decision Tree + MLP),1,3,1,90.0,10.0,32.4844,0.9703
Hybrid (Decision Tree + MLP),2,3,1,80.0,20.0,32.1133,0.9704
Hybrid (Decision Tree + MLP),3,3,1,70.0,30.0,32.9414,0.969
Hybrid (Decision Tree + MLP),4,3,1,60.0,40.0,32.4168,0.9703
Hybrid (Decision Tree + MLP),5,3,1,50.0,50.0,32.8708,0.9694
